"InternetInfoCode.FREE-EM", "O endereço de e-mail do cliente é de um provedor de e-mail gratuito."
"InternetInfoCode.FREE-EM", "O endereço de e-mail do cliente é de um provedor de e-mail gratuito."
"InternetInfoCode.INTL-IPCO", "O país do endereço de e-mail do cliente é fora do U.S."
"InternetInfoCode.INV-EM", "O endereço de e-mail do cliente é inválido."
"InternetInfoCode.MM-EMBCO", "O domínio do endereço de e-mail do cliente não é consistente com o país do endereço de cobrança."
"InternetInfoCode.MM-IPBC"," "O endereço de e-mail do cliente não é consistente com a cidade do endereço de cobrança."
"InternetInfoCode.MM-IPBCO", "O endereço de e-mail do cliente não é consistente com a país do endereço de cobrança."
"InternetInfoCode.MM-IPBST", "O endereço IP do cliente não é consistente com o estado no endereço de cobrança. No entanto, este código de informação não pode ser devolvido quando a inconsistência é entre estados imediatamente adjacentes."
"InternetInfoCode.MM-IPEM", "O endereço de e-mail do cliente não é consistente com o endereço IP."
"InternetInfoCode.RISK-EM", "O domínio do e-mail do cliente (por exemplo, mail.example.com) está associada com alto risco."
"InternetInfoCode.UNV-NID", "O endereço IP do cliente é de um proxy anônimo. Estas entidades escondem completamente informações sobre o endereço de IP."
"InternetInfoCode.UNV-RI400SK", "O endereço IP é de origem de risco."
"InternetInfoCode.UNV-EMBCO", O país do endereço do cliente de e-mail não corresponde ao país do endereço de cobrança."

"AddressInfoCode.COR-BA", "O endereço de cobrança pode ser normalizado."
"AddressInfoCode.COR-SA", "O endereço de entrega pode ser normalizado."
"AddressInfoCode.INTL-BA", "O país de cobrança é fora dos U.S."
"AddressInfoCode.INTL-SA", "O país de entrega é fora dos U.S."
"AddressInfoCode.MIL-USA", "Este é um endereço militar nos U.S."
"AddressInfoCode.MM-A", "Os endereços de cobrança e entrega usam nomes de ruas diferentes."
"AddressInfoCode.MM-BIN", "O BIN do cartão (os seis primeiros dígitos do número) não corresponde ao país."
"AddressInfoCode.MM-C", "Os endereços de cobrança e entrega usam cidades diferentes."
"AddressInfoCode.MM-CO", "Os endereços de cobrança e entrega usam países diferentes."
"AddressInfoCode.MM-ST", "Os endereços de cobrança e entrega usam estados diferentes."
"AddressInfoCode.MM-Z", "Os endereços de cobrança e entrega usam códidos postais diferentes."
"AddressInfoCode.UNV-ADDR", "O endereço é inverificável."

"AfsFactorCode.A", "Mudança de endereço excessiva. O cliente mudou o endereço de cobrança duas ou mais vezes nos últimos seis meses."
"AfsFactorCode.B", "BIN do cartão ou autorização de risco. Os fatores de risco estão relacionados com BIN de cartão de crédito e/ou verificações de autorização do cartão."
"AfsFactorCode.C", "Elevado números de cartões de créditos. O cliente tem usado mais de seis números de cartões de créditos nos últimos seis meses."
"AfsFactorCode.D", "Impacto do endereço de e-mail. O cliente usa um provedor de e-mail gratuito ou o endereço de email é arriscado."
"AfsFactorCode.E", "Lista positiva. O cliente está na sua lista positiva."
"AfsFactorCode.F", "Lista negativa. O número da conta, endereço, endereço de e-mail ou endereço IP para este fim aparece sua lista negativa."
"AfsFactorCode.G", "Inconsistências de geolocalização. O domínio do cliente de e-mail, número de telefone, endereço de cobrança, endereço de envio ou endereço IP é suspeito."
"AfsFactorCode.H", "Excessivas mudanças de nome. O cliente mudou o nome duas ou mais vezes nos últimos seis meses."
"AfsFactorCode.I", "Inconsistências de internet. O endereço IP e de domínio de e-mail não são consistentes com o endereço de cobrança."
"AfsFactorCode.N", "Entrada sem sentido. O nome do cliente e os campos de endereço contém palavras sem sentido ou idioma."
"AfsFactorCode.O", "Obscenidades. Dados do cliente contém palavras obscenas."
"AfsFactorCode.P", "Identidade morphing. Vários valores de um elemento de identidade estão ligados a um valor de um elemento de identidade diferentes. Por exemplo, vários números de telefone estão ligados a um número e conta única."
"AfsFactorCode.Q", "Inconsistências do telefone. O número de telefone do cliente é suspeito."
"AfsFactorCode.R", "Ordem arriscada. A transação, o cliente e o lojista mostram informações correlacionadas de alto risco."
"AfsFactorCode.T", "Cobertura Time. O cliente está a tentar uma compra fora do horário esperado. U Endereço não verificável. O endereço de cobrança ou de entrega não pode ser verificado."
"AfsFactorCode.V", "Velocity. O número da conta foi usado muitas vezes nos últimos 15 minutos."
"AfsFactorCode.W", "Marcado como suspeito. O endereço de cobrança ou de entrega é semelhante a um endereço previamente marcado como suspeito."
"AfsFactorCode.Y", "O endereço, cidade, estado ou país dos endereços de cobrança e entrega não se correlacionam."
"AfsFactorCode.Z", "Valor inválido. Como a solicitação contém um valor inesperado, um valor padrão foi substituído. Embora a transação ainda possa ser processada, examinar o pedido com cuidado para detectar anomalias."

"ReasonCode.100", "Operação bem sucedida."
"ReasonCode.101", "O pedido está faltando um ou mais campos necessários. Possível ação: Veja os campos que estão faltando na lista AntiFraudResponse.MissingFieldCollection. Reenviar o pedido com a informação  completa."
"ReasonCode.102", "Um ou mais campos do pedido contêm dados inválidos. Possível ação: Veja os campos inválidos na lista AntiFraudResponse.InvalidFieldCollection. Reenviar o pedido com as informações corretas."
"ReasonCode.150", "Falha no sistema geral. Possível ação: Aguarde alguns minutos e tente reenviar o pedido."
"ReasonCode.151", "O pedido foi recebido, mas ocorreu time-out no servidor. Este erro não inclui time-out entre o cliente e o servidor. Possível ação: Aguarde alguns minutos e tente reenviar o pedido."
"ReasonCode.152", "O pedido foi recebido, mas ocorreu time-out. Possível ação: Aguarde alguns minutos e reenviar o pedido."
"ReasonCode.202", "CyberSource recusou o pedido porque o cartão expirou. Você também pode receber este código se a data de validade não coincidir com a data em arquivo do banco emissor. Se o processador  de pagamento permite a emissão de créditos para cartões expirados, a CyberSource não limita essa funcionalidade. Possível ação: Solicite um cartão ou outra forma de pagamento. "
"ReasonCode.231", "O número da conta é inválido. Possível ação: Solicite um cartão ou outra forma de pagamento. "
"ReasonCode.234", "Há um problema com a configuração do comerciante na CyberSource. Possível ação: Não envie o pedido. Entre em contato com o Suporte ao Cliente para corrigir o problema de configuração."
"ReasonCode.400", "A pontuação de fraude ultrapassa o seu limite. Possível ação: Reveja o pedido do cliente."
"ReasonCode.480", "O pedido foi marcado para revisão pelo Gerenciador de Decisão."
"ReasonCode.481", "O pedido foi rejeitado pelo Gerenciador de Decisão"

"SuspiciousInfoCode.BAD-FP", "O dispositivo é arriscado."
"SuspiciousInfoCode.INTL-BIN", "O cartão de crédito foi emitido fora dos U.S."
"SuspiciousInfoCode.MM-TZTL", "O Fuso horário do dispositivo é incompatível com os fusos horários do país."
"SuspiciousInfoCode.MUL-EM", "O cliente tem usado mais de quatro endereços de email diferentes."
"SuspiciousInfoCode.NON-BC", "A cidade de cobrança é um desconhecida."
"SuspiciousInfoCode.NON-FN", "O primeiro nome do cliente é desconhecido."
"SuspiciousInfoCode.NON-LN", "O último nome do cliente é desconhecido."
"SuspiciousInfoCode.OBS-BC", "A cidade de cobrança contem obscenidades."
"SuspiciousInfoCode.OBS-EM", "O endereço de e-mail contem obscenidades."
"SuspiciousInfoCode.RISK-AVS", "O resultado do teste combinado AVS e endereço de cobrança normalizado são arriscados, o resultado AVS indica uma correspondência exata, mas o endereço de cobrança não é entrega normalizada."
"SuspiciousInfoCode.RISK-BC", "A cidade de cobrança possui caracteres repetidos."
"SuspiciousInfoCode.RISK-BIN", "No passado, este BIN do cartão de crédito (os seis primeiros dígitos do número do cartão)  mostrou uma elevada incidência de fraude."
"SuspiciousInfoCode.RISK-DEV", "Algumas das características do dispositivo são arriscadas."
"SuspiciousInfoCode.RISK-FN", "Nome e sobrenome do cliente contêm combinações de letras improváveis."
"SuspiciousInfoCode.RISK-LN", "Nome do meio ou o sobrenome do cliente contém combinações de letras improváveis."
