"Credit Card","Cartão de Crédito"
"Redirecting to payment page", "Redirecionamento para a tela de pagamento"
"Order id not received.", "Código do pedido não informado."
"%1$sx %2$s without interest", "%1$sx %2$s sem juros"
"%1$sx %2$s with interest*", "%1$sx %2$s com juros*"
"Installments", "Parcelamento"
"Installments set up by card issuer", "Parcelamento administrado pela operadora do cartão"
"Print Boleto", "Imprimir Boleto"
"Debit Card", "Cartão de Débito"
"Debit Card Number", "Número do Cartão de Débito"
"Pay Order", "Realizar Pagamento"
"Barcode representation", "Código de Barras"
